rank,model,split,tuned,best_params,accuracy,precision,recall,f1_score,f2_score,roc_auc
1,HistGradientBoostingClassifier,validation,True,"{""learning_rate"": 0.05, ""max_iter"": 100, ""max_leaf_nodes"": 31}",0.986,0.8571428571428571,0.7058823529411765,0.7741935483870968,0.7317073170731707,0.9872122762148337
2,Decision Tree,validation,True,"{""criterion"": ""entropy"", ""max_depth"": null, ""min_samples_leaf"": 1}",0.98,0.7058823529411765,0.7058823529411765,0.7058823529411765,0.7058823529411765,0.8477651930337353
3,Random Forest,validation,True,"{""max_depth"": null, ""min_samples_leaf"": 1, ""n_estimators"": 200}",0.9753333333333334,0.6590909090909091,0.5686274509803921,0.6105263157894737,0.5846774193548387,0.9765693717100368
4,Extra Trees,validation,False,{},0.9733333333333334,0.8666666666666667,0.2549019607843137,0.3939393939393939,0.2968036529680365,0.9434160137484946
5,Logistic Regression,validation,False,{},0.8346666666666667,0.13653136531365315,0.7254901960784313,0.22981366459627328,0.3894736842105263,0.8749915425107241
